"","ogrid_cde","n_wells_FALSE","n_wells_TRUE","plug_cost_FALSE","plug_cost_TRUE","sum_individual_bonds_FALSE","sum_individual_bonds_TRUE","active_bond","temp_abandon_bond","bond","hypothetical_perfoot_bond","total_plugcost","uses_active_blanket","uses_tempabandon_blanket","n_temp_abandon_group","active_bond_group","active_triple","temp_abandon_bond_double","bond_2","plug_cost_lowprod"
"361","372834",63,1,4018284,81228,2244714,38538,125000,150000,163538,2283252,4099512,TRUE,FALSE,"between 1 and 5","between 51 and 100",375000,3e+05,413538,388728
"362","372878",0,11,0,1428540,0,513090,0,5e+05,5e+05,513090,1428540,TRUE,TRUE,"between 11 and 25","zero",0,1e+06,513090,1428540
"363","372920",1,0,151164,0,50194,0,50000,0,50000,50194,151164,TRUE,TRUE,"zero","between 1 and 10",150000,0,50194,151164
"364","372938",3,3,187356,282937.587665439,106226,122156.264610906,50000,150000,172156.264610906,228382.264610906,470293.587665439,TRUE,FALSE,"between 1 and 5","between 1 and 10",150000,3e+05,228382.264610906,408085.587665439
"365","373075",47,14,6378793.58766544,1748616,2238132.26461091,641436,75000,5e+05,575000,2879568.26461091,8127409.58766544,TRUE,TRUE,"between 11 and 25","between 11 and 50",225000,1e+06,866436,2725824
"366","373121",23,13,966375.175330877,743928,736062.529221813,448988,75000,5e+05,523988,1185050.52922181,1710303.17533088,TRUE,FALSE,"between 11 and 25","between 11 and 50",225000,1e+06,673988,1593147.17533088
"367","373276",21,0,637008,0,631168,0,75000,0,75000,631168,637008,TRUE,TRUE,"zero","between 11 and 50",225000,0,225000,374208
"368","373483",6,1,520692,86040,236782,39340,50000,150000,89340,276122,606732,TRUE,FALSE,"between 1 and 5","between 1 and 10",150000,3e+05,189340,86040
"369","373495",6,1,146640,20712,174440,28452,50000,150000,78452,202892,167352,TRUE,FALSE,"between 1 and 5","between 1 and 10",150000,3e+05,178452,37752
"370","373626",0,4,0,27552,0,104592,0,150000,104592,104592,27552,TRUE,FALSE,"between 1 and 5","zero",0,3e+05,104592,27552
"371","373671",20,2,2253804,216192,875634,86032,75000,150000,161032,961666,2469996,TRUE,FALSE,"between 1 and 5","between 11 and 50",225000,3e+05,311032,322632
"372","373817",0,34,0,1942836,0,1173806,0,1e+06,1e+06,1173806,1942836,TRUE,TRUE,"more than 25","zero",0,2e+06,1173806,1942836
"373","373910",6,0,1428204,0,388034,0,50000,0,50000,388034,1428204,TRUE,TRUE,"zero","between 1 and 10",150000,0,150000,NA
"374","373962",1,0,50208,0,33368,0,50000,0,33368,33368,50208,FALSE,TRUE,"zero","between 1 and 10",150000,0,33368,NA
"375","374138",59,13,4055170.92863965,707029.587665439,2150861.82143994,442838.264610906,125000,5e+05,567838.264610906,2593700.08605085,4762200.51630509,TRUE,FALSE,"between 11 and 25","between 51 and 100",375000,1e+06,817838.264610906,1332654.35066175
"376","37636",0,4,0,193308,0,132218,0,150000,132218,132218,193308,TRUE,FALSE,"between 1 and 5","zero",0,3e+05,132218,193308
"377","4076",1,0,27912,0,29652,0,50000,0,29652,29652,27912,FALSE,TRUE,"zero","between 1 and 10",150000,0,29652,NA
"378","4323",70,71,9973995.17533088,6797137.58766544,3412332.52922181,2907856.26461091,125000,1e+06,1125000,6320188.79383272,16771132.7629963,TRUE,TRUE,"more than 25","between 51 and 100",375000,2e+06,2375000,7118245.58766544
"379","4378",19,1,2315208,110160,860868,43360,75000,150000,118360,904228,2425368,TRUE,FALSE,"between 1 and 5","between 11 and 50",225000,3e+05,268360,625500
"380","4537",39,0,2336187.87665439,0,1364364.64610906,0,75000,0,75000,1364364.64610906,2336187.87665439,TRUE,TRUE,"zero","between 11 and 50",225000,0,225000,NA
"381","4838",3,0,112728,0,93788,0,50000,0,50000,93788,112728,TRUE,TRUE,"zero","between 1 and 10",150000,0,93788,NA
"382","5380",114,60,17928011.1136581,3960649.58766544,5838001.85227634,2160108.26461091,250000,1e+06,1250000,7998110.11688725,21888660.7013235,TRUE,TRUE,"more than 25","more than 100",750000,2e+06,2750000,4528837.58766544
"383","5691",1,2,127584,222000,46264,87000,50000,150000,133264,133264,349584,FALSE,FALSE,"between 1 and 5","between 1 and 10",150000,3e+05,133264,222000
"384","5898",3,7,260280,660132,118380,285022,50000,3e+05,335022,403402,920412,TRUE,FALSE,"between 6 and 10","between 1 and 10",150000,6e+05,403402,660132
"385","6137",302,41,54132603.1753309,5121655.93832719,16572100.5292218,1878609.32305453,250000,1e+06,1250000,18450709.8522763,59254259.1136581,TRUE,TRUE,"more than 25","more than 100",750000,2e+06,2628609.32305453,6141331.93832719
"386","6515",151,6,5099832,124008,4624972,170668,250000,3e+05,420668,4795640,5223840,TRUE,FALSE,"between 6 and 10","more than 100",750000,6e+05,920668,629244
"387","6550",53,7,3323062.04229772,460837.587665439,1878843.67371629,251806.264610906,125000,3e+05,376806.264610906,2130649.93832719,3783899.62996316,TRUE,FALSE,"between 6 and 10","between 51 and 100",375000,6e+05,626806.264610906,3783899.62996316
"388","7109",0,2,0,201240,0,83540,0,150000,83540,83540,201240,TRUE,FALSE,"between 1 and 5","zero",0,3e+05,83540,201240
"389","7192",0,1,0,28080,0,29680,0,150000,29680,29680,28080,TRUE,FALSE,"between 1 and 5","zero",0,3e+05,29680,28080
"390","7377",689,29,128004351.876654,2937492,38559058.6461091,1214582,250000,1e+06,1250000,39773640.6461091,130941843.876654,TRUE,TRUE,"more than 25","more than 100",750000,2e+06,1964582,7031187.17533088
"391","7590",5,0,431869.587665439,0,196978.264610906,0,50000,0,50000,196978.264610906,431869.587665439,TRUE,TRUE,"zero","between 1 and 10",150000,0,150000,87504
"392","778",0,3,0,227353.587665439,0,112892.264610906,0,150000,112892.264610906,112892.264610906,227353.587665439,TRUE,FALSE,"between 1 and 5","zero",0,3e+05,112892.264610906,227353.587665439
"393","7844",0,2,0,73776,0,62296,0,150000,62296,62296,73776,TRUE,FALSE,"between 1 and 5","zero",0,3e+05,62296,73776
"394","785",4,0,636180,0,206030,0,50000,0,50000,206030,636180,TRUE,TRUE,"zero","between 1 and 10",150000,0,150000,NA
"395","7899",0,3,0,341640,0,131940,0,150000,131940,131940,341640,TRUE,FALSE,"between 1 and 5","zero",0,3e+05,131940,341640
"396","873",1596,234,114773907.175331,16407436.7629963,59028984.5292218,8584572.79383272,250000,1e+06,1250000,67613557.3230545,131181343.938327,TRUE,TRUE,"more than 25","more than 100",750000,2e+06,2750000,27288196.7629963
"397","8807",0,1,0,24756,0,29126,0,150000,29126,29126,24756,TRUE,FALSE,"between 1 and 5","zero",0,3e+05,29126,24756
"398","8896",0,1,0,25620,0,29270,0,150000,29270,29270,25620,TRUE,FALSE,"between 1 and 5","zero",0,3e+05,29270,25620
"399","9338",29,0,1606416,0,992736,0,75000,0,75000,992736,1606416,TRUE,TRUE,"zero","between 11 and 50",225000,0,225000,118344
"400","9759",1,6,34464,276096,30744,196016,50000,3e+05,226760,226760,310560,FALSE,FALSE,"between 6 and 10","between 1 and 10",150000,6e+05,226760,310560
"401","9809",0,10,0,679836,0,363306,0,3e+05,3e+05,363306,679836,TRUE,TRUE,"between 6 and 10","zero",0,6e+05,363306,679836
"402","99439",2,5,84420,156336,64070,151056,50000,150000,2e+05,215126,240756,TRUE,TRUE,"between 1 and 5","between 1 and 10",150000,3e+05,215126,240756
"403","9974",31,1,1508100,82620,1026350,38770,75000,150000,113770,1065120,1590720,TRUE,FALSE,"between 1 and 5","between 11 and 50",225000,3e+05,263770,592584
